,Año,País,Salario Medio,Var.
88,2007,Bélgica [+],38.659€,
89,2007,Bulgaria [+],2.594€,
90,2007,Canadá [+],28.475€,
91,2007,Suiza [+],45.610€,
92,2007,Chile [+],7.178€,
93,2007,Chipre [+],13.885€,
94,2007,República Checa [+],9.029€,
95,2007,Dinamarca [+],46.493€,
96,2007,Estonia [+],8.939€,
97,2007,Finlandia [+],35.559€,
98,2007,Grecia [+],23.935€,
99,2007,Hungría [+],8.578€,
100,2007,Irlanda [+],40.985€,
101,2007,Israel [+],20.076€,
102,2007,Islandia [+],57.925€,
103,2007,Corea del Sur [+],25.422€,
104,2007,Lituania [+],6.305€,
105,2007,Luxemburgo [+],45.265€,
106,2007,Letonia [+],6.180€,
107,2007,Malta [+],15.535€,
108,2007,México [+],5.175€,
109,2007,Países Bajos [+],42.000€,
110,2007,Noruega [+],52.506€,
111,2007,Nueva Zelanda [+],23.097€,
112,2007,Polonia [+],8.535€,
113,2007,Rumanía [+],4.821€,
114,2007,Suecia [+],36.412€,
115,2007,Eslovenia [+],14.625€,
116,2007,Eslovaquia [+],7.997€,
117,2008,España [+],2008,
118,2008,Alemania [+],2008,
119,2008,Reino Unido [+],2008,
120,2008,Francia [+],2008,
121,2008,Italia [+],2008,
122,2008,Portugal [+],2008,
123,2008,Estados Unidos [+],2008,
124,2008,Japón [+],2008,
125,2008,Austria [+],2008,
126,2008,Australia [+],2008,
127,2008,Bélgica [+],2008,
128,2008,Bulgaria [+],2008,
129,2008,Canadá [+],2008,
130,2008,Suiza [+],2008,
131,2008,Chile [+],2008,
132,2008,Chipre [+],2007,
133,2008,República Checa [+],2008,
134,2008,Dinamarca [+],2008,
135,2008,Estonia [+],2008,
136,2008,Finlandia [+],2008,
137,2008,Grecia [+],2008,
138,2008,Hungría [+],2008,
139,2008,Irlanda [+],2008,
140,2008,Israel [+],2008,
141,2008,Islandia [+],2008,
142,2008,Corea del Sur [+],2008,
143,2008,Lituania [+],2008,
144,2008,Luxemburgo [+],2008,
145,2008,Letonia [+],2008,
146,2008,Malta [+],2008,
147,2008,México [+],2008,
148,2008,Países Bajos [+],2008,
149,2008,Noruega [+],2008,
150,2008,Nueva Zelanda [+],2008,
151,2008,Polonia [+],2008,
152,2008,Rumanía [+],2008,
153,2008,Suecia [+],2008,
154,2008,Eslovenia [+],2008,
155,2008,Eslovaquia [+],2008,
156,2009,España [+],2009,
157,2009,Alemania [+],2009,
158,2009,Reino Unido [+],2009,
159,2009,Francia [+],2009,
160,2009,Italia [+],2009,
161,2009,Portugal [+],2009,
162,2009,Estados Unidos [+],2009,
163,2009,Japón [+],2009,
164,2009,Austria [+],2009,
165,2009,Australia [+],2009,
166,2009,Bélgica [+],2009,
167,2009,Bulgaria [+],2009,
168,2009,Canadá [+],2009,
169,2009,Suiza [+],2009,
170,2009,Chile [+],2009,
171,2009,Chipre [+],2007,
172,2009,República Checa [+],2009,
173,2009,Dinamarca [+],2009,
174,2009,Estonia [+],2009,
175,2009,Finlandia [+],2009,
176,2009,Grecia [+],2009,
177,2009,Hungría [+],2009,
178,2009,Irlanda [+],2009,
179,2009,Israel [+],2009,
180,2009,Islandia [+],2009,
181,2009,Corea del Sur [+],2009,
182,2009,Lituania [+],2009,
183,2009,Luxemburgo [+],2009,
184,2009,Letonia [+],2009,
185,2009,Malta [+],2009,
186,2009,México [+],2009,
187,2009,Países Bajos [+],2009,
188,2009,Noruega [+],2009,
189,2009,Nueva Zelanda [+],2009,
190,2009,Polonia [+],2009,
191,2009,Rumanía [+],2009,
192,2009,Suecia [+],2009,
193,2009,Eslovenia [+],2009,
194,2009,Eslovaquia [+],2009,
195,2010,España [+],2010,
196,2010,Alemania [+],2010,
197,2010,Reino Unido [+],2010,
198,2010,Francia [+],2010,
199,2010,Italia [+],2010,
200,2010,Portugal [+],2010,
201,2010,Estados Unidos [+],2010,
202,2010,Japón [+],2010,
203,2010,Austria [+],2010,
204,2010,Australia [+],2010,
205,2010,Bélgica [+],2010,
206,2010,Bulgaria [+],2010,
207,2010,Canadá [+],2010,
208,2010,Suiza [+],2010,
209,2010,Chile [+],2010,
210,2010,Chipre [+],2007,
211,2010,República Checa [+],2010,
212,2010,Dinamarca [+],2010,
213,2010,Estonia [+],2010,
214,2010,Finlandia [+],2010,
215,2010,Grecia [+],2010,
216,2010,Hungría [+],2010,
217,2010,Irlanda [+],2010,
218,2010,Israel [+],2010,
219,2010,Islandia [+],2010,
220,2010,Corea del Sur [+],2010,
221,2010,Lituania [+],2010,
222,2010,Luxemburgo [+],2010,
223,2010,Letonia [+],2010,
224,2010,Malta [+],2010,
225,2010,México [+],2010,
226,2010,Países Bajos [+],2010,
227,2010,Noruega [+],2010,
228,2010,Nueva Zelanda [+],2010,
229,2010,Polonia [+],2010,
230,2010,Rumanía [+],2010,
231,2010,Suecia [+],2010,
232,2010,Eslovenia [+],2010,
233,2010,Eslovaquia [+],2010,
234,2011,España [+],2011,
235,2011,Alemania [+],2011,
236,2011,Reino Unido [+],2011,
237,2011,Francia [+],2011,
238,2011,Italia [+],2011,
239,2011,Portugal [+],2011,
240,2011,Estados Unidos [+],2011,
241,2011,Japón [+],2011,
242,2011,Austria [+],2011,
243,2011,Australia [+],2011,
244,2011,Bélgica [+],2011,
245,2011,Bulgaria [+],2011,
246,2011,Canadá [+],2011,
247,2011,Suiza [+],2011,
248,2011,Chile [+],2011,
249,2011,Chipre [+],2007,
250,2011,República Checa [+],2011,
251,2011,Dinamarca [+],2011,
252,2011,Estonia [+],2011,
253,2011,Finlandia [+],2011,
254,2011,Grecia [+],2011,
255,2011,Hungría [+],2011,
256,2011,Irlanda [+],2011,
257,2011,Israel [+],2011,
258,2011,Islandia [+],2011,
259,2011,Corea del Sur [+],2011,
260,2011,Lituania [+],2011,
261,2011,Luxemburgo [+],2011,
262,2011,Letonia [+],2011,
263,2011,Malta [+],2011,
264,2011,México [+],2011,
265,2011,Países Bajos [+],2011,
266,2011,Noruega [+],2011,
267,2011,Nueva Zelanda [+],2011,
268,2011,Polonia [+],2011,
269,2011,Rumanía [+],2011,
270,2011,Suecia [+],2011,
271,2011,Eslovenia [+],2011,
272,2011,Eslovaquia [+],2011,
273,2012,España [+],2012,
274,2012,Alemania [+],2012,
275,2012,Reino Unido [+],2012,
276,2012,Francia [+],2012,
277,2012,Italia [+],2012,
278,2012,Portugal [+],2012,
279,2012,Estados Unidos [+],2012,
280,2012,Japón [+],2012,
281,2012,Austria [+],2012,
282,2012,Australia [+],2012,
283,2012,Bélgica [+],2012,
284,2012,Bulgaria [+],2012,
285,2012,Canadá [+],2012,
286,2012,Suiza [+],2012,
287,2012,Chile [+],2012,
288,2012,Chipre [+],2007,
289,2012,República Checa [+],2012,
290,2012,Dinamarca [+],2012,
291,2012,Estonia [+],2012,
292,2012,Finlandia [+],2012,
293,2012,Grecia [+],2012,
294,2012,Hungría [+],2012,
295,2012,Irlanda [+],2012,
296,2012,Israel [+],2012,
297,2012,Islandia [+],2012,
298,2012,Corea del Sur [+],2012,
299,2012,Lituania [+],2012,
300,2012,Luxemburgo [+],2012,
301,2012,Letonia [+],2012,
302,2012,Malta [+],2012,
303,2012,México [+],2012,
304,2012,Países Bajos [+],2012,
305,2012,Noruega [+],2012,
306,2012,Nueva Zelanda [+],2012,
307,2012,Polonia [+],2012,
308,2012,Rumanía [+],2012,
309,2012,Suecia [+],2012,
310,2012,Eslovenia [+],2012,
311,2012,Eslovaquia [+],2012,
312,2013,España [+],2013,
313,2013,Alemania [+],2013,
314,2013,Reino Unido [+],2013,
315,2013,Francia [+],2013,
316,2013,Italia [+],2013,
317,2013,Portugal [+],2013,
318,2013,Estados Unidos [+],2013,
319,2013,Japón [+],2013,
320,2013,Austria [+],2013,
321,2013,Australia [+],2013,
322,2013,Bélgica [+],2013,
323,2013,Bulgaria [+],2013,
324,2013,Canadá [+],2013,
325,2013,Suiza [+],2013,
326,2013,Chile [+],2013,
327,2013,Chipre [+],2007,
328,2013,República Checa [+],2013,
329,2013,Dinamarca [+],2013,
330,2013,Estonia [+],2013,
331,2013,Finlandia [+],2013,
332,2013,Grecia [+],2013,
333,2013,Croacia [+],2013,
334,2013,Hungría [+],2013,
335,2013,Irlanda [+],2013,
336,2013,Israel [+],2013,
337,2013,Islandia [+],2013,
338,2013,Corea del Sur [+],2013,
339,2013,Lituania [+],2013,
340,2013,Luxemburgo [+],2013,
341,2013,Letonia [+],2013,
342,2013,Malta [+],2013,
343,2013,México [+],2013,
344,2013,Países Bajos [+],2013,
345,2013,Noruega [+],2013,
346,2013,Nueva Zelanda [+],2013,
347,2013,Polonia [+],2013,
348,2013,Rumanía [+],2013,
349,2013,Suecia [+],2013,
350,2013,Eslovenia [+],2013,
351,2013,Eslovaquia [+],2013,
352,2014,España [+],26.191€,
353,2014,Alemania [+],45.970€,
354,2014,Reino Unido [+],43.567€,
355,2014,Francia [+],37.235€,
356,2014,Italia [+],30.347€,
357,2014,Portugal [+],17.313€,
358,2014,Estados Unidos [+],37.711€,
359,2014,Japón [+],35.439€,
360,2014,Austria [+],42.814€,
361,2014,Australia [+],53.950€,
362,2014,Bélgica [+],46.451€,
363,2014,Bulgaria [+],5.146€,
364,2014,Canadá [+],33.990€,
365,2014,Suiza [+],74.528€,
366,2014,Chile [+],10.392€,
367,2014,Chipre [+],22.704€,
368,2014,República Checa [+],11.281€,
369,2014,Dinamarca [+],53.335€,
370,2014,Estonia [+],12.338€,
371,2014,Finlandia [+],42.704€,
372,2014,Grecia [+],21.322€,
373,2014,Croacia [+],11.198€,
374,2014,Hungría [+],9.891€,
375,2014,Irlanda [+],43.371€,
376,2014,Israel [+],28.398€,
377,2014,Islandia [+],46.339€,
378,2014,Corea del Sur [+],29.631€,
379,2014,Lituania [+],8.116€,
380,2014,Luxemburgo [+],54.920€,
381,2014,Letonia [+],8.892€,
382,2014,Malta [+],20.500€,
383,2014,México [+],5.848€,
384,2014,Países Bajos [+],48.360€,
385,2014,Noruega [+],64.383€,
386,2014,Nueva Zelanda [+],34.219€,
387,2014,Polonia [+],10.638€,
388,2014,Rumanía [+],6.222€,
389,2014,Suecia [+],44.863€,
390,2014,Eslovenia [+],17.948€,
391,2014,Eslovaquia [+],10.422€,
392,2015,España [+],2015,
393,2015,Alemania [+],2015,
394,2015,Reino Unido [+],2015,
395,2015,Francia [+],2015,
396,2015,Italia [+],2015,
397,2015,Portugal [+],2015,
398,2015,Estados Unidos [+],2015,
399,2015,Japón [+],2015,
400,2015,Austria [+],2015,
401,2015,Australia [+],2015,
402,2015,Bélgica [+],2015,
403,2015,Bulgaria [+],2015,
404,2015,Canadá [+],2015,
405,2015,Suiza [+],2015,
406,2015,Chile [+],2015,
407,2015,Chipre [+],2014,
408,2015,República Checa [+],2015,
409,2015,Dinamarca [+],2015,
410,2015,Estonia [+],2015,
411,2015,Finlandia [+],2015,
412,2015,Grecia [+],2015,
413,2015,Croacia [+],2015,
414,2015,Hungría [+],2015,
415,2015,Irlanda [+],2015,
416,2015,Israel [+],2015,
417,2015,Islandia [+],2015,
418,2015,Corea del Sur [+],2015,
419,2015,Lituania [+],2015,
420,2015,Luxemburgo [+],2015,
421,2015,Letonia [+],2015,
422,2015,Malta [+],2015,
423,2015,México [+],2015,
424,2015,Países Bajos [+],2015,
425,2015,Noruega [+],2015,
426,2015,Nueva Zelanda [+],2015,
427,2015,Polonia [+],2015,
428,2015,Rumanía [+],2015,
429,2015,Suecia [+],2015,
430,2015,Eslovenia [+],2015,
431,2015,Eslovaquia [+],2015,
432,2016,España [+],2016,
433,2016,Alemania [+],2016,
434,2016,Reino Unido [+],2016,
435,2016,Francia [+],2016,
436,2016,Italia [+],2016,
437,2016,Portugal [+],2016,
438,2016,Estados Unidos [+],2016,
439,2016,Japón [+],2016,
440,2016,Austria [+],2016,
441,2016,Australia [+],2016,
442,2016,Bélgica [+],2016,
443,2016,Bulgaria [+],2016,
444,2016,Canadá [+],2016,
445,2016,Suiza [+],2016,
446,2016,Chile [+],2016,
447,2016,Chipre [+],2014,
448,2016,República Checa [+],2016,
449,2016,Dinamarca [+],2016,
450,2016,Estonia [+],2016,
451,2016,Finlandia [+],2016,
452,2016,Grecia [+],2016,
453,2016,Croacia [+],2016,
454,2016,Hungría [+],2016,
455,2016,Irlanda [+],2016,
456,2016,Israel [+],2016,
457,2016,Islandia [+],2016,
458,2016,Corea del Sur [+],2016,
459,2016,Lituania [+],2016,
460,2016,Luxemburgo [+],2016,
461,2016,Letonia [+],2016,
462,2016,Malta [+],2016,
463,2016,México [+],2016,
464,2016,Países Bajos [+],2016,
465,2016,Noruega [+],2016,
466,2016,Nueva Zelanda [+],2016,
467,2016,Polonia [+],2016,
468,2016,Rumanía [+],2016,
469,2016,Suecia [+],2016,
470,2016,Eslovenia [+],2016,
471,2016,Eslovaquia [+],2016,
472,2017,España [+],26.550€,
473,2017,Alemania [+],49.100€,
474,2017,Reino Unido [+],43.940€,
475,2017,Francia [+],35.707€,
476,2017,Italia [+],30.696€,
477,2017,Portugal [+],17.981€,
478,2017,Estados Unidos [+],47.248€,
479,2017,Japón [+],40.607€,
480,2017,Austria [+],46.002€,
481,2017,Australia [+],56.568€,
482,2017,Bélgica [+],47.527€,
483,2017,Bulgaria [+],6.581€,
484,2017,Canadá [+],35.247€,
485,2017,Suiza [+],80.567€,
486,2017,Chile [+],12.757€,
487,2017,Chipre [+],22.707€,
488,2017,República Checa [+],13.575€,
489,2017,Dinamarca [+],55.393€,
490,2017,Estonia [+],14.992€,
491,2017,Finlandia [+],44.165€,
492,2017,Grecia [+],20.921€,
493,2017,Croacia [+],12.454€,
494,2017,Hungría [+],12.066€,
495,2017,Irlanda [+],45.504€,
496,2017,Israel [+],36.418€,
497,2017,Islandia [+],72.673€,
498,2017,Corea del Sur [+],35.915€,
499,2017,Lituania [+],10.216€,
500,2017,Luxemburgo [+],58.238€,
501,2017,Letonia [+],10.980€,
502,2017,Malta [+],22.431€,
503,2017,México [+],5.452€,
504,2017,Países Bajos [+],50.850€,
505,2017,Noruega [+],62.082€,
506,2017,Nueva Zelanda [+],37.003€,
507,2017,Polonia [+],11.855€,
508,2017,Rumanía [+],8.129€,
509,2017,Suecia [+],45.233€,
510,2017,Eslovenia [+],18.839€,
511,2017,Eslovaquia [+],11.636€,
512,2018,España [+],26.922€,
513,2018,Alemania [+],50.700€,
514,2018,Reino Unido [+],44.669€,
515,2018,Francia [+],36.319€,
516,2018,Italia [+],31.050€,
517,2018,Portugal [+],18.429€,
518,2018,Estados Unidos [+],46.620€,
519,2018,Japón [+],39.930€,
520,2018,Austria [+],47.078€,
521,2018,Australia [+],54.300€,
522,2018,Bélgica [+],48.645€,
523,2018,Bulgaria [+],7.231€,
524,2018,Canadá [+],35.214€,
525,2018,Suiza [+],78.434€,
526,2018,Chile [+],12.755€,
527,2018,Chipre [+],23.268€,
528,2018,República Checa [+],14.985€,
529,2018,Dinamarca [+],56.499€,
530,2018,Estonia [+],15.734€,
531,2018,Finlandia [+],44.481€,
532,2018,Grecia [+],21.279€,
533,2018,Croacia [+],13.203€,
534,2018,Hungría [+],12.913€,
535,2018,Irlanda [+],47.227€,
536,2018,Israel [+],36.348€,
537,2018,Islandia [+],73.286€,
538,2018,Corea del Sur [+],37.253€,
539,2018,Lituania [+],11.164€,
540,2018,Luxemburgo [+],59.733€,
541,2018,Letonia [+],11.892€,
542,2018,Malta [+],23.331€,
543,2018,México [+],5.480€,
544,2018,Países Bajos [+],51.792€,
545,2018,Noruega [+],62.106€,
546,2018,Nueva Zelanda [+],35.371€,
547,2018,Polonia [+],12.814€,
548,2018,Rumanía [+],10.572€,
549,2018,Suecia [+],43.629€,
550,2018,Eslovenia [+],19.569€,
551,2018,Eslovaquia [+],12.314€,
552,2019,España [+],27.537€,
553,2019,Alemania [+],52.185€,
554,2019,Reino Unido [+],46.485€,
555,2019,Francia [+],36.547€,
556,2019,Italia [+],31.602€,
557,2019,Portugal [+],18.787€,
558,2019,Estados Unidos [+],50.965€,
559,2019,Japón [+],42.853€,
560,2019,Austria [+],48.412€,
561,2019,Australia [+],54.520€,
562,2019,Bélgica [+],49.565€,
563,2019,Bulgaria [+],7.771€,
564,2019,Canadá [+],37.086€,
565,2019,Suiza [+],82.098€,
566,2019,Chile [+],12.755€,
567,2019,Chipre [+],24.058€,
568,2019,República Checa [+],15.924€,
569,2019,Dinamarca [+],57.312€,
570,2019,Estonia [+],17.118€,
571,2019,Finlandia [+],45.271€,
572,2019,Grecia [+],21.382€,
573,2019,Croacia [+],13.664€,
574,2019,Hungría [+],13.680€,
575,2019,Irlanda [+],48.806€,
576,2019,Israel [+],39.842€,
577,2019,Islandia [+],70.127€,
578,2019,Corea del Sur [+],38.117€,
579,2019,Lituania [+],14.390€,
580,2019,Luxemburgo [+],60.770€,
581,2019,Letonia [+],13.001€,
582,2019,Malta [+],24.582€,
583,2019,México [+],6.106€,
584,2019,Países Bajos [+],53.198€,
585,2019,Noruega [+],62.400€,
586,2019,Nueva Zelanda [+],36.581€,
587,2019,Polonia [+],13.808€,
588,2019,Rumanía [+],12.047€,
589,2019,Suecia [+],43.613€,
590,2019,Eslovenia [+],20.576€,
591,2019,Eslovaquia [+],13.199€,
592,2020,España [+],27.537€,
593,2020,Alemania [+],52.185€,
594,2020,Reino Unido [+],46.485€,
595,2020,Francia [+],36.547€,
596,2020,Italia [+],31.602€,
597,2020,Portugal [+],18.787€,
598,2020,Estados Unidos [+],50.965€,
599,2020,Japón [+],42.853€,
600,2020,Austria [+],48.412€,
601,2020,Australia [+],54.520€,
602,2020,Bélgica [+],49.565€,
603,2020,Bulgaria [+],7.771€,
604,2020,Canadá [+],37.086€,
605,2020,Suiza [+],82.098€,
606,2020,Chile [+],12.755€,
607,2020,Chipre [+],24.058€,
608,2020,República Checa [+],15.924€,
609,2020,Dinamarca [+],57.312€,
610,2020,Estonia [+],17.118€,
611,2020,Finlandia [+],45.271€,
612,2020,Grecia [+],21.382€,
613,2020,Croacia [+],13.664€,
614,2020,Hungría [+],13.680€,
615,2020,Irlanda [+],48.806€,
616,2020,Israel [+],39.842€,
617,2020,Islandia [+],70.127€,
618,2020,Corea del Sur [+],38.117€,
619,2020,Lituania [+],14.390€,
620,2020,Luxemburgo [+],60.770€,
621,2020,Letonia [+],13.001€,
622,2020,Malta [+],24.582€,
623,2020,México [+],6.106€,
624,2020,Países Bajos [+],53.198€,
625,2020,Noruega [+],62.400€,
626,2020,Nueva Zelanda [+],36.581€,
627,2020,Polonia [+],13.808€,
628,2020,Rumanía [+],12.047€,
629,2020,Suecia [+],43.613€,
630,2020,Eslovenia [+],20.576€,
631,2020,Eslovaquia [+],13.199€,
