,Año,País,Tasa Desempleo,Varianza Anual Desempleo,SMI €,Salario Medio
61,2007,República Checa [+],"4,7%","-1,70","291,1 €",9.029€
62,2007,Estonia [+],"4,1%","-1,00","230,1 €",8.939€
63,2007,Grecia [+],"8,1%","-0,86","767,6 €",23.935€
64,2007,Hungría [+],"8,0%","0,60","260,2 €",8.578€
65,2007,Irlanda [+],"5,3%","0,60","1.461,9 €",40.985€
66,2007,Lituania [+],"4,1%","-0,90","202,7 €",6.305€
67,2007,Luxemburgo [+],"4,0%","-0,40","1.570,3 €",45.265€
68,2007,Letonia [+],"5,6%","-1,10","172,1 €",6.180€
69,2007,Malta [+],"5,8%","-0,70","601,9 €",15.535€
70,2007,México [+],"3,1%","-0,21","104,0 €",5.175€
71,2007,Países Bajos [+],"3,9%","-0,70","1.317,0 €",42.000€
72,2007,Polonia [+],"8,3%","-3,60","244,3 €",8.535€
73,2007,Rumanía [+],"5,8%","-1,40","115,3 €",4.821€
74,2007,Eslovenia [+],"4,7%","-0,70","521,8 €",14.625€
75,2007,Eslovaquia [+],"10,5%","-1,60","220,7 €",7.997€
76,2008,España [+],"14,8%","6,00","700,0 €",2008
77,2008,Reino Unido [+],"6,4%","1,20","1.242,2 €",2008
78,2008,Francia [+],"8,0%","0,60","1.321,0 €",2008
79,2008,Portugal [+],"9,2%","0,50","497,0 €",2008
80,2008,Estados Unidos [+],"7,3%","2,30","688,8 €",2008
81,2008,Japón [+],"4,4%","0,70","726,2 €",2008
82,2008,Australia [+],"4,6%","0,26","1.364,2 €",2008
83,2008,Bélgica [+],"6,9%","-0,20","1.335,8 €",2008
84,2008,Bulgaria [+],"5,3%","-0,80","112,5 €",2008
85,2008,Canadá [+],"6,9%","0,90","1.001,7 €",2008
86,2008,Chile [+],"7,5%","0,26","208,8 €",2008
87,2008,Chipre [+],"3,7%","-0,10","743,0 €",2007
88,2008,República Checa [+],"4,7%",0,"300,4 €",2008
89,2008,Estonia [+],"9,2%","5,10","278,0 €",2008
90,2008,Grecia [+],"8,6%","0,53","794,0 €",2008
91,2008,Hungría [+],"8,4%","0,40","271,9 €",2008
92,2008,Irlanda [+],"9,1%","3,80","1.461,9 €",2008
93,2008,Lituania [+],"9,0%","4,90","231,7 €",2008
94,2008,Luxemburgo [+],"4,5%","0,50","1.609,5 €",2008
95,2008,Letonia [+],"11,3%","5,70","229,8 €",2008
96,2008,Malta [+],"6,1%","0,30","617,2 €",2008
97,2008,México [+],"4,0%","0,92","96,2 €",2008
98,2008,Países Bajos [+],"3,7%","-0,20","1.356,6 €",2008
99,2008,Polonia [+],"7,0%","-1,30","313,3 €",2008
100,2008,Rumanía [+],"5,8%",0,"138,6 €",2008
101,2008,Eslovenia [+],"4,3%","-0,40","566,5 €",2008
102,2008,Eslovaquia [+],"9,1%","-1,40","241,2 €",2008
103,2009,España [+],"18,9%","4,10","728,0 €",2009
104,2009,Reino Unido [+],"7,8%","1,40","995,3 €",2009
105,2009,Francia [+],"9,5%","1,50","1.337,7 €",2009
106,2009,Portugal [+],"11,3%","2,10","525,0 €",2009
107,2009,Estados Unidos [+],"9,9%","2,60","815,8 €",2009
108,2009,Japón [+],"5,2%","0,80","969,5 €",2009
109,2009,Australia [+],"5,5%","0,93","1.162,3 €",2009
110,2009,Bélgica [+],"8,3%","1,40","1.387,5 €",2009
111,2009,Bulgaria [+],"8,4%","3,10","122,7 €",2009
112,2009,Canadá [+],"8,5%","1,60","904,5 €",2009
113,2009,Chile [+],"8,6%","1,14","182,2 €",2009
114,2009,Chipre [+],"6,5%","2,80","791,0 €",2007
115,2009,República Checa [+],"7,5%","2,80","297,7 €",2009
116,2009,Estonia [+],"16,9%","7,70","278,0 €",2009
117,2009,Grecia [+],"10,7%","2,03","862,8 €",2009
118,2009,Hungría [+],"10,8%","2,40","268,1 €",2009
119,2009,Irlanda [+],"13,9%","4,80","1.461,9 €",2009
120,2009,Lituania [+],"16,6%","7,60","231,7 €",2009
121,2009,Luxemburgo [+],"5,7%","1,20","1.682,8 €",2009
122,2009,Letonia [+],"20,6%","9,30","254,1 €",2009
123,2009,Malta [+],"7,3%","1,20","634,9 €",2009
124,2009,México [+],"4,7%","0,70","84,1 €",2009
125,2009,Países Bajos [+],"5,0%","1,30","1.398,6 €",2009
126,2009,Polonia [+],"9,0%","2,00","307,2 €",2009
127,2009,Rumanía [+],"6,9%","1,10","149,2 €",2009
128,2009,Eslovenia [+],"6,4%","2,10","589,2 €",2009
129,2009,Eslovaquia [+],"14,4%","5,30","295,5 €",2009
130,2010,España [+],"20,3%","1,40","738,9 €",2010
131,2010,Reino Unido [+],"7,9%","0,10","1.076,5 €",2010
132,2010,Francia [+],"9,2%","-0,30","1.343,8 €",2010
133,2010,Portugal [+],"12,2%","0,90","554,2 €",2010
134,2010,Estados Unidos [+],"9,3%","-0,60","872,3 €",2010
135,2010,Japón [+],"4,9%","-0,30","933,6 €",2010
136,2010,Australia [+],"4,9%","-0,62","1.507,4 €",2010
137,2010,Bélgica [+],"7,6%","-0,70","1.387,5 €",2010
138,2010,Bulgaria [+],"11,4%","3,00","122,7 €",2010
139,2010,Canadá [+],"7,6%","-0,90","1.071,3 €",2010
140,2010,Chile [+],"7,3%","-1,28","231,7 €",2010
141,2010,Chipre [+],"6,2%","-0,30","835,0 €",2007
142,2010,República Checa [+],"7,0%","-0,50","302,2 €",2010
143,2010,Estonia [+],"14,2%","-2,70","278,0 €",2010
144,2010,Grecia [+],"14,7%","4,09","862,8 €",2010
145,2010,Hungría [+],"11,1%","0,30","271,8 €",2010
146,2010,Irlanda [+],"15,7%","1,80","1.461,9 €",2010
147,2010,Lituania [+],"17,4%","0,80","231,7 €",2010
148,2010,Luxemburgo [+],"5,9%","0,20","1.724,8 €",2010
149,2010,Letonia [+],"17,7%","-2,90","253,8 €",2010
150,2010,Malta [+],"6,9%","-0,40","659,9 €",2010
151,2010,México [+],"4,9%","0,21","89,7 €",2010
152,2010,Países Bajos [+],"5,0%",0,"1.416,0 €",2010
153,2010,Polonia [+],"9,5%","0,50","320,9 €",2010
154,2010,Rumanía [+],"6,9%",0,"141,6 €",2010
155,2010,Eslovenia [+],"7,8%","1,40","734,2 €",2010
156,2010,Eslovaquia [+],"13,9%","-0,50","307,7 €",2010
157,2011,España [+],"22,9%","2,60","748,3 €",2011
158,2011,Reino Unido [+],"8,4%","0,50","1.136,2 €",2011
159,2011,Francia [+],"9,4%","0,20","1.365,0 €",2011
160,2011,Portugal [+],"14,4%","2,20","565,8 €",2011
161,2011,Estados Unidos [+],"8,5%","-0,80","940,5 €",2011
162,2011,Japón [+],"4,5%","-0,40","1.167,4 €",2011
163,2011,Australia [+],"5,2%","0,31","1.912,0 €",2011
164,2011,Bélgica [+],"7,0%","-0,60","1.443,5 €",2011
165,2011,Bulgaria [+],"11,7%","0,30","122,7 €",2011
166,2011,Canadá [+],"7,4%","-0,20","1.255,6 €",2011
167,2011,Chile [+],"6,6%","-0,71","285,5 €",2011
168,2011,Chipre [+],"9,7%","3,50","855,0 €",2007
169,2011,República Checa [+],"6,6%","-0,40","319,2 €",2011
170,2011,Estonia [+],"10,9%","-3,30","278,0 €",2011
171,2011,Grecia [+],"21,3%","6,54","876,6 €",2011
172,2011,Hungría [+],"11,1%",0,"280,6 €",2011
173,2011,Irlanda [+],"15,9%","0,20","1.461,9 €",2011
174,2011,Lituania [+],"13,5%","-3,90","231,7 €",2011
175,2011,Luxemburgo [+],"5,9%",0,"1.757,6 €",2011
176,2011,Letonia [+],"15,3%","-2,40","281,9 €",2011
177,2011,Malta [+],"6,5%","-0,40","665,0 €",2011
178,2011,México [+],"4,5%","-0,43","106,7 €",2011
179,2011,Países Bajos [+],"5,4%","0,40","1.435,2 €",2011
180,2011,Polonia [+],"9,9%","0,40","348,7 €",2011
181,2011,Rumanía [+],"7,4%","0,50","157,2 €",2011
182,2011,Eslovenia [+],"8,6%","0,80","748,1 €",2011
183,2011,Eslovaquia [+],"13,9%",0,"317,0 €",2011
184,2012,España [+],"26,0%","3,10","748,3 €",2012
185,2012,Reino Unido [+],"7,8%","-0,60","1.202,0 €",2012
186,2012,Francia [+],"10,2%","0,80","1.425,7 €",2012
187,2012,Portugal [+],"17,3%","2,90","565,8 €",2012
188,2012,Estados Unidos [+],"7,9%","-0,60","971,2 €",2012
189,2012,Japón [+],"4,3%","-0,20","1.280,1 €",2012
190,2012,Australia [+],"5,4%","0,23","2.036,2 €",2012
191,2012,Bélgica [+],"8,4%","1,40","1.472,4 €",2012
192,2012,Bulgaria [+],"12,6%","0,90","148,3 €",2012
193,2012,Canadá [+],"7,2%","-0,20","1.309,0 €",2012
194,2012,Chile [+],"6,0%","-0,67","277,7 €",2012
195,2012,Chipre [+],"13,7%","4,00","855,0 €",2007
196,2012,República Checa [+],"7,1%","0,50","310,2 €",2012
197,2012,Estonia [+],"9,6%","-1,30","290,0 €",2012
198,2012,Grecia [+],"26,4%","5,10","683,8 €",2012
199,2012,Hungría [+],"11,0%","-0,10","295,6 €",2012
200,2012,Irlanda [+],"14,8%","-1,10","1.461,9 €",2012
201,2012,Lituania [+],"12,8%","-0,70","231,7 €",2012
202,2012,Luxemburgo [+],"6,4%","0,50","1.801,5 €",2012
203,2012,Letonia [+],"13,8%","-1,50","285,9 €",2012
204,2012,Malta [+],"5,7%","-0,80","685,1 €",2012
205,2012,México [+],"4,4%","-0,11","101,9 €",2012
206,2012,Países Bajos [+],"6,4%","1,00","1.456,2 €",2012
207,2012,Polonia [+],"10,3%","0,40","336,5 €",2012
208,2012,Rumanía [+],"6,7%","-0,70","161,9 €",2012
209,2012,Eslovenia [+],"9,7%","1,10","763,1 €",2012
210,2012,Eslovaquia [+],"14,3%","0,40","327,0 €",2012
211,2013,España [+],"25,5%","-0,50","752,9 €",2013
212,2013,Reino Unido [+],"7,2%","-0,60","1.249,9 €",2013
213,2013,Francia [+],"10,2%",0,"1.430,2 €",2013
214,2013,Portugal [+],"15,0%","-2,30","565,8 €",2013
215,2013,Estados Unidos [+],"6,7%","-1,20","952,5 €",2013
216,2013,Japón [+],"3,7%","-0,60","1.148,5 €",2013
217,2013,Australia [+],"5,9%","0,48","2.094,1 €",2013
218,2013,Bélgica [+],"8,6%","0,20","1.501,8 €",2013
219,2013,Bulgaria [+],"13,0%","0,40","158,5 €",2013
220,2013,Canadá [+],"7,2%",0,"1.337,9 €",2013
221,2013,Chile [+],"6,1%","0,15","316,1 €",2013
222,2013,Chipre [+],"16,2%","2,50","855,0 €",2007
223,2013,República Checa [+],"6,8%","-0,30","318,1 €",2013
224,2013,Estonia [+],"8,6%","-1,00","320,0 €",2013
225,2013,Grecia [+],"27,5%","1,13","683,8 €",2013
226,2013,Croacia [+],"17,5%","0,50","400,7 €",2013
227,2013,Hungría [+],"8,7%","-2,30","335,3 €",2013
228,2013,Irlanda [+],"12,8%","-2,00","1.461,9 €",2013
229,2013,Lituania [+],"11,6%","-1,20","289,6 €",2013
230,2013,Luxemburgo [+],"6,0%","-0,40","1.874,2 €",2013
231,2013,Letonia [+],"11,5%","-2,30","286,7 €",2013
232,2013,Malta [+],"5,9%","0,20","702,8 €",2013
233,2013,México [+],"4,3%","-0,13","111,7 €",2013
234,2013,Países Bajos [+],"7,7%","1,30","1.477,8 €",2013
235,2013,Polonia [+],"9,9%","-0,40","392,7 €",2013
236,2013,Rumanía [+],"7,1%","0,40","179,4 €",2013
237,2013,Eslovenia [+],"9,9%","0,20","783,7 €",2013
238,2013,Eslovaquia [+],"14,0%","-0,30","337,7 €",2013
239,2014,España [+],"23,6%","-1,90","752,9 €",26.191€
240,2014,Reino Unido [+],"5,7%","-1,50","1.251,1 €",43.567€
241,2014,Francia [+],"10,4%","0,20","1.445,4 €",37.235€
242,2014,Portugal [+],"13,5%","-1,50","565,8 €",17.313€
243,2014,Estados Unidos [+],"5,6%","-1,10","911,2 €",37.711€
244,2014,Japón [+],"3,4%","-0,30","919,9 €",35.439€
245,2014,Australia [+],"6,1%","0,21","1.774,5 €",53.950€
246,2014,Bélgica [+],"8,5%","-0,10","1.501,8 €",46.451€
247,2014,Bulgaria [+],"10,3%","-2,70","173,8 €",5.146€
248,2014,Canadá [+],"6,7%","-0,50","1.228,7 €",33.990€
249,2014,Chile [+],"6,2%","0,03","299,9 €",10.392€
250,2014,Chipre [+],"16,4%","0,20","870,0 €",22.704€
251,2014,República Checa [+],"5,8%","-1,00","309,9 €",11.281€
252,2014,Estonia [+],"6,5%","-2,10","355,0 €",12.338€
253,2014,Grecia [+],"25,9%","-1,61","683,8 €",21.322€
254,2014,Croacia [+],"16,7%","-0,80","395,7 €",11.198€
255,2014,Hungría [+],"7,4%","-1,30","341,7 €",9.891€
256,2014,Irlanda [+],"10,7%","-2,10","1.461,9 €",43.371€
257,2014,Lituania [+],"10,2%","-1,40","289,6 €",8.116€
258,2014,Luxemburgo [+],"6,2%","0,20","1.921,0 €",54.920€
259,2014,Letonia [+],"10,1%","-1,40","320,0 €",8.892€
260,2014,Malta [+],"5,4%","-0,50","718,0 €",20.500€
261,2014,México [+],"3,8%","-0,51","110,4 €",5.848€
262,2014,Países Bajos [+],"7,2%","-0,50","1.495,2 €",48.360€
263,2014,Polonia [+],"8,2%","-1,70","404,4 €",10.638€
264,2014,Rumanía [+],"6,6%","-0,50","205,3 €",6.222€
265,2014,Eslovenia [+],"9,6%","-0,30","789,2 €",17.948€
266,2014,Eslovaquia [+],"12,4%","-1,60","352,0 €",10.422€
267,2015,España [+],"20,8%","-2,80","756,7 €",2015
268,2015,Alemania [+],"4,5%","-0,40","1.440,0 €",2015
269,2015,Reino Unido [+],"5,1%","-0,60","1.378,9 €",2015
270,2015,Francia [+],"10,2%","-0,20","1.457,5 €",2015
271,2015,Portugal [+],"12,1%","-1,40","589,2 €",2015
272,2015,Estados Unidos [+],"5,0%","-0,60","1.035,1 €",2015
273,2015,Japón [+],"3,3%","-0,10","936,3 €",2015
274,2015,Australia [+],"5,8%","-0,35","1.896,2 €",2015
275,2015,Bélgica [+],"8,7%","0,20","1.501,8 €",2015
276,2015,Bulgaria [+],"8,0%","-2,30","194,3 €",2015
277,2015,Canadá [+],"7,1%","0,40","1.316,4 €",2015
278,2015,Chile [+],"5,8%","-0,31","314,3 €",2015
279,2015,Chipre [+],"13,0%","-3,40","870,0 €",2014
280,2015,República Checa [+],"4,4%","-1,40","331,7 €",2015
281,2015,Estonia [+],"6,5%",0,"390,0 €",2015
282,2015,Grecia [+],"24,0%","-1,96","683,8 €",2015
283,2015,Croacia [+],"15,1%","-1,60","395,6 €",2015
284,2015,Hungría [+],"6,2%","-1,20","332,8 €",2015
285,2015,Irlanda [+],"9,3%","-1,40","1.461,9 €",2015
286,2015,Lituania [+],"8,6%","-1,60","325,0 €",2015
287,2015,Luxemburgo [+],"6,5%","0,30","1.923,0 €",2015
288,2015,Letonia [+],"10,0%","-0,10","360,0 €",2015
289,2015,Malta [+],"5,3%","-0,10","720,5 €",2015
290,2015,México [+],"4,0%","0,21","117,9 €",2015
291,2015,Países Bajos [+],"6,6%","-0,60","1.507,8 €",2015
292,2015,Polonia [+],"6,9%","-1,30","409,5 €",2015
293,2015,Rumanía [+],"6,5%","-0,10","238,4 €",2015
294,2015,Eslovenia [+],"8,5%","-1,10","790,7 €",2015
295,2015,Eslovaquia [+],"10,7%","-1,70","380,0 €",2015
296,2016,España [+],"18,5%","-2,30","764,4 €",2016
297,2016,Alemania [+],"3,9%","-0,60","1.440,0 €",2016
298,2016,Reino Unido [+],"4,8%","-0,30","1.443,4 €",2016
299,2016,Francia [+],"9,9%","-0,30","1.466,6 €",2016
300,2016,Portugal [+],"10,1%","-2,00","618,3 €",2016
301,2016,Estados Unidos [+],"4,7%","-0,30","1.154,3 €",2016
302,2016,Japón [+],"3,0%","-0,30","1.063,6 €",2016
303,2016,Australia [+],"5,8%","0,07","1.933,8 €",2016
304,2016,Bélgica [+],"7,3%","-1,40","1.531,9 €",2016
305,2016,Bulgaria [+],"6,7%","-1,30","214,8 €",2016
306,2016,Canadá [+],"6,9%","-0,20","1.261,4 €",2016
307,2016,Chile [+],"6,2%","0,38","329,5 €",2016
308,2016,Chipre [+],"12,8%","-0,20","870,0 €",2014
309,2016,República Checa [+],"3,5%","-0,90","366,4 €",2016
310,2016,Estonia [+],"6,3%","-0,20","430,0 €",2016
311,2016,Grecia [+],"23,3%","-0,66","683,8 €",2016
312,2016,Croacia [+],"12,5%","-2,60","408,5 €",2016
313,2016,Hungría [+],"4,3%","-1,90","351,3 €",2016
314,2016,Irlanda [+],"7,4%","-1,90","1.546,4 €",2016
315,2016,Lituania [+],"7,6%","-1,00","380,0 €",2016
316,2016,Luxemburgo [+],"6,3%","-0,20","1.923,0 €",2016
317,2016,Letonia [+],"9,4%","-0,60","370,0 €",2016
318,2016,Malta [+],"4,3%","-1,00","728,0 €",2016
319,2016,México [+],"3,4%","-0,59","117,5 €",2016
320,2016,Países Bajos [+],"5,4%","-1,20","1.537,2 €",2016
321,2016,Polonia [+],"5,4%","-1,50","433,9 €",2016
322,2016,Rumanía [+],"5,3%","-1,20","276,3 €",2016
323,2016,Eslovenia [+],"8,1%","-0,40","790,7 €",2016
324,2016,Eslovaquia [+],"8,9%","-1,80","405,0 €",2016
325,2017,España [+],"16,5%","-2,00","825,7 €",26.550€
326,2017,Alemania [+],"3,6%","-0,30","1.498,0 €",49.100€
327,2017,Reino Unido [+],"4,4%","-0,40","1.413,6 €",43.940€
328,2017,Francia [+],"9,0%","-0,90","1.480,3 €",35.707€
329,2017,Portugal [+],"7,9%","-2,20","649,8 €",17.981€
330,2017,Estados Unidos [+],"4,1%","-0,60","1.192,2 €",47.248€
331,2017,Japón [+],"2,8%","-0,20","1.164,8 €",40.607€
332,2017,Australia [+],"5,5%","-0,28","2.030,1 €",56.568€
333,2017,Bélgica [+],"6,2%","-1,10","1.562,6 €",47.527€
334,2017,Bulgaria [+],"5,7%","-1,00","235,2 €",6.581€
335,2017,Canadá [+],"5,8%","-1,10","1.389,1 €",35.247€
336,2017,Chile [+],"6,5%","0,29","379,6 €",12.757€
337,2017,Chipre [+],"10,4%","-2,40","870,0 €",22.707€
338,2017,República Checa [+],"2,4%","-1,10","407,1 €",13.575€
339,2017,Estonia [+],"5,6%","-0,70","470,0 €",14.992€
340,2017,Grecia [+],"20,8%","-2,50","683,8 €",20.921€
341,2017,Croacia [+],"9,7%","-2,80","433,4 €",12.454€
342,2017,Hungría [+],"3,8%","-0,50","411,5 €",12.066€
343,2017,Irlanda [+],"6,2%","-1,20","1.563,3 €",45.504€
344,2017,Lituania [+],"6,8%","-0,80","380,0 €",10.216€
345,2017,Luxemburgo [+],"5,6%","-0,70","1.998,6 €",58.238€
346,2017,Letonia [+],"8,1%","-1,30","380,0 €",10.980€
347,2017,Malta [+],"4,1%","-0,20","735,6 €",22.431€
348,2017,México [+],"3,1%","-0,24","111,8 €",5.452€
349,2017,Países Bajos [+],"4,4%","-1,00","1.565,4 €",50.850€
350,2017,Polonia [+],"4,3%","-1,10","453,5 €",11.855€
351,2017,Rumanía [+],"4,5%","-0,80","318,5 €",8.129€
352,2017,Eslovenia [+],"5,7%","-2,40","805,0 €",18.839€
353,2017,Eslovaquia [+],"7,5%","-1,40","435,0 €",11.636€
354,2018,España [+],"14,4%","-2,10","858,6 €",26.922€
355,2018,Alemania [+],"3,3%","-0,30","1.498,0 €",50.700€
356,2018,Reino Unido [+],"4,0%","-0,40","1.467,2 €",44.669€
357,2018,Francia [+],"8,8%","-0,20","1.498,5 €",36.319€
358,2018,Portugal [+],"6,6%","-1,30","676,7 €",18.429€
359,2018,Estados Unidos [+],"3,9%","-0,20","1.047,8 €",46.620€
360,2018,Japón [+],"2,4%","-0,40","1.097,1 €",39.930€
361,2018,Australia [+],"5,0%","-0,56","1.996,6 €",54.300€
362,2018,Bélgica [+],"5,7%","-0,50","1.562,6 €",48.645€
363,2018,Bulgaria [+],"4,7%","-1,00","260,8 €",7.231€
364,2018,Canadá [+],"5,6%","-0,20","1.482,2 €",35.214€
365,2018,Chile [+],"6,8%","0,26","379,5 €",12.755€
366,2018,Chipre [+],"7,6%","-2,80","870,0 €",23.268€
367,2018,República Checa [+],"2,1%","-0,30","477,8 €",14.985€
368,2018,Estonia [+],"4,2%","-1,40","500,0 €",15.734€
369,2018,Grecia [+],"18,4%","-2,40","683,8 €",21.279€
370,2018,Croacia [+],"7,4%","-2,30","462,3 €",13.203€
371,2018,Hungría [+],"3,6%","-0,20","444,7 €",12.913€
372,2018,Irlanda [+],"5,5%","-0,70","1.614,0 €",47.227€
373,2018,Lituania [+],"6,0%","-0,80","400,0 €",11.164€
374,2018,Luxemburgo [+],"5,2%","-0,40","1.998,6 €",59.733€
375,2018,Letonia [+],"6,9%","-1,20","430,0 €",11.892€
376,2018,Malta [+],"3,7%","-0,40","747,5 €",23.331€
377,2018,México [+],"3,4%","0,23","113,6 €",5.480€
378,2018,Países Bajos [+],"3,6%","-0,80","1.594,2 €",51.792€
379,2018,Polonia [+],"3,8%","-0,50","502,8 €",12.814€
380,2018,Rumanía [+],"4,0%","-0,50","407,9 €",10.572€
381,2018,Eslovenia [+],"4,4%","-1,30","842,8 €",19.569€
382,2018,Eslovaquia [+],"5,9%","-1,60","480,0 €",12.314€
383,2019,España [+],"13,7%","-0,70","1.050,0 €",27.537€
384,2019,Alemania [+],"3,3%",0,"1.557,0 €",52.185€
385,2019,Reino Unido [+],"3,8%","-0,20","1.517,1 €",46.485€
386,2019,Francia [+],"8,2%","-0,60","1.521,2 €",36.547€
387,2019,Portugal [+],"6,7%","0,10","700,0 €",18.787€
388,2019,Estados Unidos [+],"3,5%","-0,40","1.097,5 €",50.965€
389,2019,Japón [+],"2,2%","-0,20","1.213,1 €",42.853€
390,2019,Australia [+],"5,1%","0,09","1.950,3 €",54.520€
391,2019,Bélgica [+],"5,2%","-0,50","1.593,8 €",49.565€
392,2019,Bulgaria [+],"4,2%","-0,50","286,3 €",7.771€
393,2019,Canadá [+],"5,6%",0,"1.479,5 €",37.086€
394,2019,Chile [+],"7,0%","0,25","375,5 €",12.755€
395,2019,Chipre [+],"6,3%","-1,30","870,0 €",24.058€
396,2019,República Checa [+],"2,0%","-0,10","519,0 €",15.924€
397,2019,Estonia [+],"4,4%","0,20","540,0 €",17.118€
398,2019,Grecia [+],"16,4%","-2,00","758,3 €",21.382€
399,2019,Croacia [+],"6,3%","-1,10","505,9 €",13.664€
400,2019,Hungría [+],"3,4%","-0,20","464,2 €",13.680€
401,2019,Irlanda [+],"4,7%","-0,80","1.656,2 €",48.806€
402,2019,Lituania [+],"6,4%","0,40","555,0 €",14.390€
403,2019,Luxemburgo [+],"5,6%","0,40","2.089,8 €",60.770€
404,2019,Letonia [+],"6,5%","-0,40","430,0 €",13.001€
405,2019,Malta [+],"3,4%","-0,30","762,0 €",24.582€
406,2019,México [+],"2,9%","-0,45","138,9 €",6.106€
407,2019,Países Bajos [+],"3,2%","-0,40","1.635,6 €",53.198€
408,2019,Polonia [+],"2,9%","-0,90","523,1 €",13.808€
409,2019,Rumanía [+],"4,0%",0,"446,0 €",12.047€
410,2019,Eslovenia [+],"3,8%","-0,60","886,6 €",20.576€
411,2019,Eslovaquia [+],"5,6%","-0,30","520,0 €",13.199€
412,2020,España [+],"16,5%","2,40","1.108,3 €",27.537€
413,2020,Alemania [+],"4,5%","1,40","1.584,0 €",52.185€
414,2020,Reino Unido [+],"4,5%","0,60","1.583,3 €",46.485€
